,Unnamed: 0,ticker,fiscalDateEnding,reportedCurrency_x,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,shortTermInvestments,otherCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency_y,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,ebit,ebitda,netIncome,Unnamed: 0_was_missing,totalAssets_was_missing,totalCurrentAssets_was_missing,cashAndCashEquivalentsAtCarryingValue_was_missing,cashAndShortTermInvestments_was_missing,inventory_was_missing,currentNetReceivables_was_missing,totalNonCurrentAssets_was_missing,propertyPlantEquipment_was_missing,intangibleAssets_was_missing,intangibleAssetsExcludingGoodwill_was_missing,goodwill_was_missing,shortTermInvestments_was_missing,otherCurrentAssets_was_missing,totalLiabilities_was_missing,totalCurrentLiabilities_was_missing,currentAccountsPayable_was_missing,shortTermDebt_was_missing,totalNonCurrentLiabilities_was_missing,capitalLeaseObligations_was_missing,longTermDebt_was_missing,shortLongTermDebtTotal_was_missing,otherCurrentLiabilities_was_missing,otherNonCurrentLiabilities_was_missing,totalShareholderEquity_was_missing,retainedEarnings_was_missing,commonStock_was_missing,commonStockSharesOutstanding_was_missing,grossProfit_was_missing,totalRevenue_was_missing,costOfRevenue_was_missing,costofGoodsAndServicesSold_was_missing,operatingIncome_was_missing,sellingGeneralAndAdministrative_was_missing,researchAndDevelopment_was_missing,operatingExpenses_was_missing,netInterestIncome_was_missing,interestIncome_was_missing,interestExpense_was_missing,depreciationAndAmortization_was_missing,incomeBeforeTax_was_missing,incomeTaxExpense_was_missing,netIncomeFromContinuingOperations_was_missing,ebit_was_missing,ebitda_was_missing,netIncome_was_missing,close_price,price_date,future_return_1y
71,71,ADBE,2020-02-29,USD,21214000000.0,6455000000,2688000000.0,2688000000.0,1478040500.0,1389000000.0,14759000000,1340000000.0,1626000000.0,1626000000.0,10691000000.0,1483000000.0,895000000.0,10749000000,5228000000.0,265000000.0,84000000.0,5521000000.0,598000000.0,4113000000.0,4711000000.0,1241000000.0,1235000000.0,10465000000,15390000000.0,8000000.0,488000000,USD,2639000000,3091000000,452000000.0,452000000.0,937000000,271000000.0,532000000.0,1702000000,-14000000.0,19000000.0,33000000.0,188000000.0,919000000,-36000000.0,955000000.0,952000000.0,1140000000,955000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.1199951171875,2020-02-28,0.3605992523405477
1263,1263,AAPL,2020-03-31,USD,320400000000.0,143753000000,40174000000.0,40174000000.0,3334000000.0,30677000000.0,176647000000,35889000000.0,986000000.0,986000000.0,4290000000.0,53877000000.0,15691000000.0,241975000000,96094000000.0,32421000000.0,20421000000.0,145881000000.0,0.0,89086000000.0,109507000000.0,37324000000.0,56795000000.0,78425000000,33182000000.0,48032000000.0,17618764000,USD,22370000000,58313000000,35943000000.0,35943000000.0,12853000000,4952000000.0,4565000000.0,9517000000,292000000.0,1049000000.0,757000000.0,2786000000.0,13135000000,1886000000.0,11249000000.0,13892000000.0,16678000000,11249000000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.44304656982422,2020-03-31,0.9363224242788475
238,238,ADP,2020-03-31,USD,43383400000.0,35708700000,1705000000.0,1705000000.0,30834400000.0,2620600000.0,7674700000,743100000.0,1106700000.0,1106700000.0,2299300000.0,3200000.0,31379900000.0,37892700000,34672800000.0,115500000.0,1001800000.0,3219900000.0,361200000.0,1002800000.0,2365800000.0,33289600000.0,1106800000.0,5490700000,18416500000.0,63900000.0,431800000,USD,1953100000,4047800000,2094699999.0,2094699999.0,1052099999,756600000.0,172100000.0,901000000,-7900000.0,12100000.0,20000000.0,120600000.0,1076700000,255800000.0,820900000.0,1096700000.0,1217300000,820900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.02425384521484,2020-03-31,0.4109768515713812
666,666,AEP,2020-03-31,USD,77724000000.0,5292000000,1554600000.0,1554600000.0,1195900000.0,1741500000.0,72432000000,61048900000.0,986000000.0,986000000.0,52500000.0,185200000.0,614800000.0,57716300000,11654700000.0,1593400000.0,6808100000.0,46061600000.0,970600000.0,25783000000.0,33327400000.0,1636800000.0,12200200000.0,19728400000,10038800000.0,3350200000.0,496608918,USD,1082900000,3757400000,2674500000.0,2674500000.0,761800000,602100000.0,0.0,321100000,-292100000.0,260700000.0,291200000.0,695600000.0,545800000,46500000.0,469700000.0,807400000.0,1503000000,495200000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64.42422485351562,2020-03-31,0.09619464788425502
642,642,ALGN,2020-03-31,USD,3964840000.0,1576525000,790696000.0,790696000.0,120977000.0,616046000.0,2388315000,663491000.0,10467000.0,10467000.0,63284000.0,0.0,48806000.0,1111851000,910686000.0,72690000.0,20225000.0,201165000.0,73970000.0,53745000.0,73970000.0,223910000.0,201165000.0,2852989000,1958043000.0,8000.0,79028000,USD,394356000,550963000,156607000.0,156607000.0,69918000,282906000.0,41532000.0,324438000,1986000.0,1986000.0,16563000.0,20738000.0,53355000,-1464776000.0,1518131000.0,69918000.0,90656000,1518131000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.9499969482422,2020-03-31,2.113136181646523
618,618,AMD,2020-03-31,USD,5864000000.0,4390000000,1330000000.0,1330000000.0,1056000000.0,1708000000.0,1474000000,540000000.0,194000000.0,194000000.0,289000000.0,55000000.0,241000000.0,2827000000,1985000000.0,653000000.0,0.0,842000000.0,211000000.0,488000000.0,699000000.0,1332000000.0,143000000.0,3037000000,-6933000000.0,12000000.0,1224000000,USD,818000000,1786000000,968000000.0,968000000.0,177000000,199000000.0,442000000.0,641000000,-13000000.0,0.0,13000000.0,78000000.0,168000000,6000000.0,162000000.0,177000000.0,255000000,162000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.47999954223633,2020-03-31,0.726033438656891
143,143,AMGN,2020-03-31,USD,61669000000.0,18813000000,7687000000.0,7687000000.0,3682000000.0,5009000000.0,42856000000,4879000000.0,18653000000.0,18653000000.0,14683000000.0,325000000.0,2110000000.0,52184000000,11827000000.0,1338000000.0,1840000000.0,40357000000.0,0.0,30008000000.0,31848000000.0,8649000000.0,9922000000.0,9485000000,-21378000000.0,31525000000.0,594000000,USD,4648000000,6161000000,1513000000.0,1513000000.0,2355000000,1316000000.0,952000000.0,2293000000,-335000000.0,11000000.0,346000000.0,897000000.0,2020000000,195000000.0,1825000000.0,2366000000.0,3263000000,1825000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.56817626953125,2020-03-31,0.2616426806806089
119,119,AMZN,2020-03-31,USD,221238000000.0,85985000000,27201000000.0,27201000000.0,18857000000.0,17836000000.0,135253000000,77779000000.0,986000000.0,986000000.0,14739000000.0,22091000000.0,3836000000.0,155966000000,79711000000.0,40056000000.0,1311000000.0,76255000000.0,40300000000.0,23437000000.0,63737000000.0,30791000000.0,12518000000.0,65272000000,33755000000.0,5000000.0,10120000000,USD,31195000000,75452000000,44257000000.0,44257000000.0,3989000000,1452000000.0,7993000000.0,27134027000,-200000000.0,202000000.0,402000000.0,5362000000.0,3279000000,744000000.0,2639000000.0,3989000000.0,9351000000,2535000000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.48600006103516,2020-03-31,0.5869355051404068
687,687,ANSS,2020-03-31,USD,4526085000.0,1290700000,717748000.0,717748000.0,1.0,524773000.0,3235385000,82471000.0,458136000.0,458136000.0,2398684000.0,282000.0,47897000.0,1233735000,537142000.0,12571000.0,27225000.0,696593000.0,107035000.0,423607000.0,530642000.0,144382000.0,203208000.0,3292350000,3416770000.0,946000.0,87369000,USD,254869000,304985000,50116000.0,50116000.0,34073000,130522000.0,86112000.0,220796000,-876000.0,2775000.0,3651000.0,20702000.0,33324000,-12740000.0,46064000.0,35023000.0,55725000,46064000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1239,1239,AZN,2020-03-31,USD,57211000000.0,12822000000,3413000000.0,3413000000.0,3123000000.0,5080000000.0,44389000000,2047000000.0,19718000000.0,19718000000.0,11569000000.0,752000000.0,454000000.0,44995000000,17043000000.0,12633000000.0,2470000000.0,27952000000.0,0.0,0.0,18576000000.0,680000000.0,0.0,10778000000,448000000.0,328000000.0,2626000000,USD,4934000000,6354000000,1420000000.0,1420000000.0,1220000000,2719000000.0,1388000000.0,3714000000,0.0,0.0,332000000.0,841000000.0,935000000,185000000.0,471000000.0,1267000000.0,2108000000,780000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,78.2477798461914,2020-03-31,0.14389114841294837
